video_name,architecture,runs,mean_fps,fps_sd,median_latency_ms,p95_latency_ms,p99_latency_ms,frames_within_40ms_pct,mean_cpu_percent,peak_cpu_percent,initial_temperature_c,mean_temperature_c,peak_temperature_c,throttling_samples,visible_target_frames,protected_target_frames,partially_protected_target_frames,leaked_target_frames,target_leakage_rate_pct,leak_event_count,mean_max_consecutive_leak_frames,maximum_consecutive_leak_frames,mean_leak_event_duration_frames,mean_reacquisition_delay_frames,maximum_reacquisition_delay_frames,resolved_reappearance_count,unresolved_reappearance_count
video1,Pipeline V1,3,36.229434,0.148861,16.248602,71.308780,80.660170,76.444444,63.700000,90.000000,63.900000,65.403333,68.300000,0.000000,1296.000000,1215.000000,30.000000,51.000000,3.935185,6.000000,16.000000,16.000000,8.500000,0.000000,0.000000,0.000000,0.000000
video2,Pipeline V1,3,22.580834,0.102805,27.637495,109.787400,118.523234,75.333333,50.362222,64.400000,64.633333,63.948889,65.550000,0.000000,1347.000000,1251.000000,96.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,Pipeline V1,3,33.691968,0.036292,17.227872,71.628918,77.318647,74.888889,58.922222,89.100000,65.733333,66.430000,68.300000,0.000000,1347.000000,1338.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video4,Pipeline V1,3,40.393127,0.236116,14.676002,68.662355,74.726733,75.111111,63.360000,81.300000,65.733333,65.195556,66.650000,0.000000,2814.000000,1377.000000,72.000000,1365.000000,48.507463,42.000000,92.000000,92.000000,32.500000,0.000000,0.000000,0.000000,3.000000
video5,Pipeline V1,3,8.398448,0.023790,73.855051,282.597513,322.496016,1.111111,39.535556,53.300000,64.816667,63.398889,65.550000,0.000000,1347.000000,162.000000,1185.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video6,Pipeline V1,3,29.150176,0.050189,22.113144,93.512145,98.337666,77.555556,57.315556,78.100000,65.733333,66.014444,67.750000,0.000000,1269.000000,1164.000000,84.000000,21.000000,1.654846,6.000000,5.000000,5.000000,3.500000,0.000000,0.000000,0.000000,0.000000
video7,Pipeline V1,3,77.211463,0.450066,7.047952,34.217423,39.104075,99.185185,83.742222,90.500000,67.200000,67.212222,69.400000,0.000000,636.000000,24.000000,42.000000,570.000000,89.622642,24.000000,46.000000,46.000000,23.750000,0.000000,0.000000,0.000000,3.000000
video8,Pipeline V1,3,58.447197,0.336883,9.265987,43.990339,49.808095,85.777778,77.302222,82.700000,67.933333,67.493333,68.300000,0.000000,1362.000000,1335.000000,21.000000,6.000000,0.440529,3.000000,2.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
video9,Pipeline V1,3,51.095454,0.232745,9.693830,55.692542,65.751812,78.888889,81.888889,85.900000,68.116667,67.823333,69.400000,0.000000,4041.000000,3840.000000,0.000000,201.000000,4.974016,69.000000,3.000000,3.000000,2.913043,0.000000,0.000000,0.000000,0.000000
video10,Pipeline V1,3,53.188391,0.240175,12.406313,35.634186,64.055163,97.851852,67.508889,87.200000,66.283333,66.576667,68.300000,0.000000,2133.000000,96.000000,0.000000,2037.000000,95.499297,42.000000,157.000000,157.000000,48.500000,53.500000,107.000000,6.000000,9.000000
video1,Pipeline V2,3,43.819181,0.226467,17.624803,33.969751,81.212624,97.481481,67.960000,85.700000,62.983333,65.085556,67.750000,0.000000,1296.000000,852.000000,441.000000,3.000000,0.231481,3.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
video2,Pipeline V2,3,35.482655,0.119829,27.294017,31.906104,35.188802,99.333333,52.568889,65.500000,65.733333,64.877778,66.650000,0.000000,1347.000000,1314.000000,33.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,Pipeline V2,3,52.442505,0.212103,16.009246,28.075123,33.677852,99.777778,63.844444,75.000000,64.633333,64.938889,66.650000,0.000000,1347.000000,1338.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video4,Pipeline V2,3,52.721723,0.177708,17.393606,30.167673,47.060583,98.444444,70.662222,83.400000,65.916667,65.550000,67.200000,0.000000,2814.000000,1608.000000,354.000000,852.000000,30.277186,24.000000,85.000000,85.000000,35.500000,0.000000,0.000000,0.000000,3.000000
video5,Pipeline V2,3,15.873559,0.048904,72.520412,77.239234,79.675321,24.814815,39.711111,49.600000,64.633333,63.240000,65.000000,0.000000,1347.000000,195.000000,1152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video6,Pipeline V2,3,34.063964,0.314862,29.958064,42.041379,47.614699,87.259259,56.631111,75.000000,65.733333,65.904444,67.750000,0.000000,1269.000000,426.000000,825.000000,18.000000,1.418440,9.000000,3.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
video7,Pipeline V2,3,35.491578,0.275611,27.488236,34.450786,38.783933,99.185185,87.348889,95.000000,66.650000,68.361111,69.950000,0.000000,636.000000,30.000000,45.000000,561.000000,88.207547,21.000000,46.000000,46.000000,26.714286,0.000000,0.000000,0.000000,3.000000
video8,Pipeline V2,3,67.946466,0.510927,9.259606,32.636553,38.898355,99.259259,79.451111,84.900000,67.566667,68.214444,69.950000,0.000000,1362.000000,1290.000000,66.000000,6.000000,0.440529,3.000000,2.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
video9,Pipeline V2,3,51.366371,0.496951,12.349550,43.615204,50.817893,91.111111,81.402222,87.800000,66.466667,68.336667,69.400000,0.000000,4041.000000,4041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video10,Pipeline V2,3,20.270979,0.046936,33.093238,93.110993,104.329219,63.259259,66.964444,85.100000,65.733333,66.515556,69.400000,0.000000,2133.000000,537.000000,258.000000,1338.000000,62.728551,36.000000,157.000000,157.000000,37.166667,46.333333,93.000000,9.000000,6.000000
